Date,NIFTY100_TRI
2003-01-01,1000.0
2003-01-02,1008.03
2003-01-03,1004.49
2003-01-06,999.85
2003-01-07,997.81
2003-01-08,1005.31
2003-01-09,1013.33
2003-01-10,998.61
2003-01-13,993.25
2003-01-14,997.95
2003-01-15,1003.67
2003-01-16,1006.77
2003-01-17,1005.35
2003-01-20,996.65
2003-01-21,998.93
2003-01-22,1002.35
2003-01-23,991.71
2003-01-24,977.13
2003-01-27,959.08
2003-01-28,967.54
2003-01-29,960.33
2003-01-30,957.87
2003-01-31,963.76
2003-02-03,976.43
2003-02-04,975.89
2003-02-05,969.31
2003-02-06,983.63
2003-02-07,978.2
2003-02-10,969.03
2003-02-11,968.3
2003-02-12,964.89
2003-02-14,956.34
2003-02-17,977.62
2003-02-18,978.92
2003-02-19,984.52
2003-02-20,985.74
2003-02-21,985.79
2003-02-24,989.51
2003-02-25,975.92
2003-02-26,970.17
2003-02-27,974.27
2003-02-28,982.81
2003-03-03,979.14
2003-03-04,968.18
2003-03-05,962.71
2003-03-06,954.22
2003-03-07,940.68
2003-03-10,930.14
2003-03-11,937.34
2003-03-12,926.08
2003-03-13,924.06
2003-03-17,917.93
2003-03-19,927.46
2003-03-20,946.55
2003-03-21,951.71
2003-03-22,958.3
2003-03-24,936.85
2003-03-25,934.5
2003-03-26,936.51
2003-03-27,927.05
2003-03-28,924.64
2003-03-31,903.2
2003-04-01,909.07
2003-04-02,923.68
2003-04-03,933.21
2003-04-04,943.38
2003-04-07,957.1
2003-04-08,945.89
2003-04-09,933.8
2003-04-10,896.29
2003-04-11,886.37
2003-04-15,887.54
2003-04-16,893.98
2003-04-17,878.74
2003-04-21,885.19
2003-04-22,882.0
2003-04-23,873.0
2003-04-24,869.55
2003-04-25,865.55
2003-04-28,871.82
2003-04-29,872.95
2003-04-30,875.35
2003-05-02,881.02
2003-05-05,889.52
2003-05-06,895.69
2003-05-07,893.6
2003-05-08,885.94
2003-05-09,884.11
2003-05-12,886.02
2003-05-13,893.64
2003-05-14,903.03
2003-05-15,910.98
2003-05-16,921.19
2003-05-19,914.9
2003-05-20,920.78
2003-05-21,921.02
2003-05-22,919.01
2003-05-23,926.24
2003-05-26,940.72
2003-05-27,934.61
2003-05-28,949.97
2003-05-29,962.91
2003-05-30,966.23
2003-06-02,968.47
2003-06-03,967.19
2003-06-04,977.03
2003-06-05,987.5
2003-06-06,996.31
2003-06-09,1004.87
2003-06-10,989.21
2003-06-11,996.85
2003-06-12,1003.84
2003-06-13,1007.25
2003-06-16,1002.19
2003-06-17,1029.97
2003-06-18,1033.79
2003-06-19,1041.79
2003-06-20,1050.6
2003-06-23,1042.19
2003-06-24,1039.72
2003-06-25,1058.79
2003-06-26,1066.71
2003-06-27,1075.42
2003-06-30,1084.37
2003-07-01,1084.39
2003-07-02,1089.52
2003-07-03,1101.44
2003-07-04,1097.88
2003-07-07,1102.49
2003-07-08,1105.85
2003-07-09,1099.5
2003-07-10,1119.96
2003-07-11,1120.65
2003-07-14,1133.66
2003-07-15,1123.0
2003-07-16,1137.07
2003-07-17,1119.82
2003-07-18,1108.45
2003-07-21,1086.93
2003-07-22,1078.5
2003-07-23,1088.29
2003-07-24,1107.57
2003-07-25,1131.14
2003-07-28,1138.35
2003-07-29,1143.94
2003-07-30,1154.71
2003-07-31,1154.78
2003-08-01,1163.66
2003-08-04,1171.9
2003-08-05,1152.93
2003-08-06,1139.87
2003-08-07,1164.66
2003-08-08,1187.66
2003-08-11,1198.36
2003-08-12,1199.21
2003-08-13,1210.37
2003-08-14,1213.97
2003-08-18,1247.32
2003-08-19,1244.45
2003-08-20,1254.0
2003-08-21,1266.98
2003-08-22,1275.49
2003-08-25,1236.48
2003-08-26,1283.72
2003-08-27,1308.42
2003-08-28,1310.59
2003-08-29,1325.21
2003-09-01,1342.27
2003-09-02,1350.48
2003-09-03,1324.32
2003-09-04,1335.26
2003-09-05,1359.78
2003-09-08,1380.46
2003-09-09,1370.99
2003-09-10,1374.58
2003-09-11,1370.23
2003-09-12,1341.58
2003-09-15,1301.23
2003-09-16,1330.1
2003-09-17,1316.48
2003-09-18,1279.12
2003-09-19,1296.03
2003-09-22,1279.33
2003-09-23,1301.54
2003-09-24,1342.51
2003-09-25,1330.2
2003-09-26,1363.01
2003-09-29,1377.13
2003-09-30,1395.14
2003-10-01,1398.01
2003-10-03,1423.13
2003-10-06,1451.53
2003-10-07,1450.83
2003-10-08,1453.74
2003-10-09,1475.67
2003-10-10,1494.62
2003-10-13,1519.13
2003-10-14,1490.48
2003-10-15,1509.13
2003-10-16,1528.4
2003-10-17,1539.87
2003-10-20,1511.88
2003-10-21,1474.99
2003-10-22,1462.36
2003-10-23,1442.98
2003-10-24,1477.23
2003-10-25,1494.55
2003-10-27,1458.85
2003-10-28,1456.97
2003-10-29,1473.27
2003-10-30,1491.7
2003-10-31,1529.76
2003-11-03,1566.83
2003-11-04,1583.67
2003-11-05,1574.74
2003-11-06,1580.2
2003-11-07,1561.63
2003-11-10,1563.0
2003-11-11,1573.76
2003-11-12,1578.39
2003-11-13,1554.47
2003-11-14,1527.12
2003-11-15,1538.96
2003-11-17,1556.27
2003-11-18,1543.62
2003-11-19,1521.2
2003-11-20,1502.74
2003-11-21,1517.85
2003-11-24,1522.36
2003-11-25,1547.02
2003-11-27,1574.2
2003-11-28,1592.67
2003-12-01,1631.52
2003-12-02,1633.85
2003-12-03,1647.63
2003-12-04,1654.98
2003-12-05,1628.73
2003-12-08,1634.42
2003-12-09,1663.79
2003-12-10,1668.66
2003-12-11,1677.0
2003-12-12,1682.51
2003-12-15,1707.77
2003-12-16,1716.68
2003-12-17,1714.92
2003-12-18,1738.13
2003-12-19,1758.36
2003-12-22,1773.88
2003-12-23,1768.62
2003-12-24,1798.44
2003-12-26,1826.93
2003-12-29,1863.74
2003-12-30,1861.09
2003-12-31,1868.77
2004-01-01,1902.89
2004-01-02,1933.38
2004-01-05,1937.52
2004-01-06,1912.23
2004-01-07,1900.19
2004-01-08,1956.68
2004-01-09,1962.6
2004-01-12,1939.8
2004-01-13,1957.39
2004-01-14,1976.29
2004-01-15,1941.63
2004-01-16,1893.94
2004-01-19,1923.62
2004-01-20,1888.42
2004-01-21,1817.11
2004-01-22,1765.91
2004-01-23,1842.85
2004-01-27,1907.78
2004-01-28,1866.69
2004-01-29,1847.79
2004-01-30,1809.71
2004-02-03,1761.79
2004-02-04,1812.12
2004-02-05,1798.67
2004-02-06,1831.99
2004-02-09,1876.3
2004-02-10,1875.46
2004-02-11,1887.7
2004-02-12,1885.99
2004-02-13,1914.56
2004-02-16,1917.55
2004-02-17,1924.19
2004-02-18,1919.12
2004-02-19,1864.27
2004-02-20,1856.31
2004-02-23,1811.65
2004-02-24,1823.34
2004-02-25,1791.42
2004-02-26,1769.27
2004-02-27,1799.42
2004-03-01,1848.39
2004-03-03,1856.35
2004-03-04,1840.92
2004-03-05,1863.41
2004-03-08,1883.43
2004-03-09,1865.44
2004-03-10,1844.73
2004-03-11,1807.69
2004-03-12,1813.4
2004-03-15,1764.17
2004-03-16,1748.74
2004-03-17,1752.23
2004-03-18,1720.42
2004-03-19,1729.67
2004-03-22,1687.89
2004-03-23,1694.51
2004-03-24,1692.03
2004-03-25,1706.67
2004-03-26,1752.15
2004-03-29,1768.78
2004-03-30,1761.2
2004-03-31,1781.36
2004-04-01,1828.61
2004-04-02,1850.65
2004-04-05,1866.87
2004-04-06,1860.8
2004-04-07,1858.62
2004-04-08,1866.45
2004-04-12,1853.64
2004-04-13,1893.22
2004-04-15,1882.34
2004-04-16,1891.11
2004-04-17,1892.24
2004-04-19,1868.34
2004-04-20,1866.95
2004-04-21,1896.48
2004-04-22,1914.75
2004-04-23,1919.99
2004-04-27,1841.0
2004-04-28,1840.52
2004-04-29,1835.75
2004-04-30,1822.09
2004-05-03,1789.87
2004-05-04,1821.15
2004-05-05,1835.04
2004-05-06,1862.67
2004-05-07,1836.11
2004-05-10,1800.2
2004-05-11,1726.01
2004-05-12,1738.35
2004-05-13,1741.73
2004-05-14,1596.85
2004-05-17,1401.5
2004-05-18,1518.32
2004-05-19,1588.52
2004-05-20,1571.49
2004-05-21,1582.53
2004-05-24,1629.44
2004-05-25,1626.05
2004-05-26,1623.1
2004-05-27,1609.73
2004-05-28,1531.41
2004-05-31,1499.0
2004-06-01,1523.54
2004-06-02,1551.73
2004-06-03,1515.46
2004-06-04,1539.72
2004-06-07,1560.8
2004-06-08,1568.55
2004-06-09,1568.49
2004-06-10,1565.55
2004-06-11,1529.76
2004-06-14,1500.3
2004-06-15,1519.59
2004-06-16,1514.84
2004-06-17,1530.64
2004-06-18,1511.39
2004-06-21,1499.89
2004-06-22,1491.69
2004-06-23,1461.59
2004-06-24,1484.26
2004-06-25,1504.08
2004-06-28,1531.96
2004-06-29,1537.73
2004-06-30,1527.33
2004-07-01,1557.86
2004-07-02,1559.5
2004-07-05,1547.53
2004-07-06,1576.16
2004-07-07,1583.85
2004-07-08,1536.37
2004-07-09,1571.67
2004-07-12,1578.5
2004-07-13,1562.96
2004-07-14,1548.88
2004-07-15,1565.6
2004-07-16,1586.67
2004-07-19,1600.77
2004-07-20,1594.63
2004-07-21,1608.75
2004-07-22,1627.54
2004-07-23,1631.81
2004-07-26,1646.85
2004-07-27,1627.18
2004-07-28,1620.45
2004-07-29,1644.42
2004-07-30,1656.5
2004-08-02,1662.69
2004-08-03,1656.44
2004-08-04,1653.12
2004-08-05,1682.28
2004-08-06,1661.94
2004-08-09,1670.28
2004-08-10,1678.59
2004-08-11,1647.41
2004-08-12,1633.81
2004-08-13,1626.86
2004-08-16,1626.62
2004-08-17,1632.79
2004-08-18,1612.72
2004-08-19,1637.54
2004-08-20,1619.21
2004-08-23,1607.18
2004-08-24,1620.32
2004-08-25,1625.14
2004-08-26,1640.9
2004-08-27,1642.18
2004-08-30,1664.66
2004-08-31,1668.45
2004-09-01,1674.43
2004-09-02,1673.25
2004-09-03,1680.51
2004-09-06,1692.52
2004-09-07,1700.28
2004-09-08,1705.8
2004-09-09,1696.65
2004-09-10,1715.48
2004-09-13,1721.71
2004-09-14,1731.35
2004-09-15,1729.96
2004-09-16,1753.44
2004-09-17,1780.16
2004-09-20,1776.36
2004-09-21,1797.78
2004-09-22,1806.17
2004-09-23,1778.57
2004-09-24,1776.04
2004-09-27,1772.12
2004-09-28,1755.58
2004-09-29,1781.7
2004-09-30,1797.94
2004-10-01,1825.4
2004-10-04,1853.81
2004-10-05,1863.86
2004-10-06,1847.79
2004-10-07,1866.34
2004-10-08,1870.61
2004-10-09,1869.41
2004-10-11,1857.75
2004-10-12,1834.3
2004-10-14,1840.06
2004-10-15,1839.92
2004-10-18,1832.38
2004-10-19,1854.34
2004-10-20,1836.65
2004-10-21,1826.4
2004-10-25,1801.89
2004-10-26,1824.53
2004-10-27,1830.71
2004-10-28,1845.06
2004-10-29,1833.3
2004-11-01,1844.84
2004-11-02,1861.42
2004-11-03,1886.75
2004-11-04,1885.63
2004-11-05,1900.85
2004-11-08,1909.26
2004-11-09,1903.51
2004-11-10,1920.43
2004-11-11,1915.81
2004-11-12,1919.46
2004-11-16,1927.96
2004-11-17,1941.91
2004-11-18,1948.81
2004-11-19,1928.16
2004-11-22,1928.29
2004-11-23,1950.14
2004-11-24,1962.14
2004-11-25,1959.72
2004-11-29,1998.51
2004-11-30,2015.99
2004-12-01,2023.53
2004-12-02,2064.39
2004-12-03,2061.92
2004-12-06,2058.09
2004-12-07,2057.32
2004-12-08,2043.66
2004-12-09,2055.59
2004-12-10,2035.38
2004-12-13,2050.83
2004-12-14,2073.57
2004-12-15,2095.11
2004-12-16,2102.69
2004-12-17,2084.89
2004-12-20,2100.59
2004-12-21,2119.56
2004-12-22,2111.37
2004-12-23,2127.04
2004-12-24,2143.25
2004-12-27,2147.12
2004-12-28,2164.74
2004-12-29,2160.22
2004-12-30,2149.53
2004-12-31,2173.89
2005-01-03,2208.52
2005-01-04,2200.41
2005-01-05,2125.24
2005-01-06,2088.18
2005-01-07,2107.03
2005-01-10,2074.65
2005-01-11,2039.06
2005-01-12,1993.77
2005-01-13,2041.26
2005-01-14,2018.72
2005-01-17,2022.04
2005-01-18,2024.93
2005-01-19,2015.41
2005-01-20,2010.14
2005-01-24,1991.46
2005-01-25,2014.67
2005-01-27,2038.99
2005-01-28,2091.13
2005-01-31,2139.49
2005-02-01,2141.81
2005-02-02,2139.37
2005-02-03,2168.2
2005-02-04,2166.91
2005-02-07,2145.59
2005-02-08,2144.17
2005-02-09,2159.76
2005-02-10,2155.18
2005-02-11,2172.29
2005-02-14,2187.23
2005-02-15,2178.1
2005-02-16,2158.35
2005-02-17,2149.98
2005-02-18,2144.39
2005-02-21,2129.79
2005-02-22,2148.13
2005-02-23,2148.54
2005-02-24,2146.27
2005-02-25,2149.11
2005-02-28,2192.94
2005-03-01,2175.73
2005-03-02,2190.11
2005-03-03,2225.12
2005-03-04,2244.8
2005-03-07,2260.44
2005-03-08,2271.9
2005-03-09,2261.49
2005-03-10,2269.12
2005-03-11,2255.28
2005-03-14,2245.48
2005-03-15,2228.1
2005-03-16,2224.81
2005-03-17,2196.34
2005-03-18,2203.52
2005-03-21,2192.33
2005-03-22,2151.95
2005-03-23,2111.84
2005-03-24,2101.56
2005-03-28,2116.37
2005-03-29,2069.42
2005-03-30,2081.53
2005-03-31,2124.93
2005-04-01,2158.39
2005-04-04,2155.85
2005-04-05,2142.15
2005-04-06,2158.16
2005-04-07,2142.69
2005-04-08,2120.58
2005-04-11,2096.1
2005-04-12,2113.36
2005-04-13,2114.14
2005-04-15,2045.05
2005-04-18,2017.08
2005-04-19,1997.43
2005-04-20,2016.49
2005-04-21,2038.91
2005-04-22,2057.78
2005-04-25,2063.22
2005-04-26,2050.4
2005-04-27,2029.33
2005-04-28,2029.03
2005-04-29,1988.57
2005-05-02,2001.95
2005-05-03,2006.62
2005-05-04,2030.53
2005-05-05,2056.66
2005-05-06,2070.31
2005-05-09,2094.69
2005-05-10,2089.03
2005-05-11,2078.98
2005-05-12,2088.49
2005-05-13,2084.5
2005-05-16,2108.68
2005-05-17,2086.1
2005-05-18,2077.7
2005-05-19,2086.51
2005-05-20,2087.22
2005-05-23,2108.7
2005-05-24,2123.1
2005-05-25,2137.82
2005-05-26,2163.99
2005-05-27,2168.16
2005-05-30,2163.36
2005-05-31,2182.16
2005-06-01,2184.49
2005-06-02,2162.57
2005-06-03,2192.11
2005-06-04,2191.83
2005-06-06,2193.91
2005-06-07,2206.07
2005-06-08,2221.26
2005-06-09,2211.73
2005-06-10,2197.47
2005-06-13,2209.51
2005-06-14,2218.11
2005-06-15,2232.05
2005-06-16,2224.47
2005-06-17,2222.3
2005-06-20,2237.75
2005-06-21,2262.71
2005-06-22,2280.3
2005-06-23,2280.96
2005-06-24,2290.16
