500 symbols from nifty500, 2010-01-01 -> 2026-08-22
  20/500  ok=20 miss=0  7s (eta 177s)
  40/500  ok=40 miss=0  14s (eta 165s)
  60/500  ok=60 miss=0  22s (eta 164s)
  80/500  ok=80 miss=0  31s (eta 165s)
  100/500  ok=100 miss=0  39s (eta 157s)
  120/500  ok=120 miss=0  47s (eta 150s)
  140/500  ok=140 miss=0  55s (eta 142s)
  160/500  ok=160 miss=0  63s (eta 133s)
  180/500  ok=180 miss=0  71s (eta 126s)
  200/500  ok=200 miss=0  79s (eta 119s)
  220/500  ok=220 miss=0  86s (eta 110s)
  240/500  ok=240 miss=0  93s (eta 101s)
  260/500  ok=260 miss=0  100s (eta 93s)
  280/500  ok=280 miss=0  108s (eta 85s)
  300/500  ok=300 miss=0  115s (eta 76s)
  320/500  ok=320 miss=0  122s (eta 69s)
  340/500  ok=340 miss=0  131s (eta 62s)
  360/500  ok=360 miss=0  138s (eta 54s)
  380/500  ok=380 miss=0  146s (eta 46s)
  400/500  ok=400 miss=0  153s (eta 38s)
  420/500  ok=420 miss=0  160s (eta 31s)
  440/500  ok=440 miss=0  167s (eta 23s)
  460/500  ok=460 miss=0  175s (eta 15s)
  480/500  ok=480 miss=0  183s (eta 8s)
  500/500  ok=500 miss=0  192s (eta 0s)
DONE ok=500 miss=0 in 192s
