short,long,cagr_pct,sharpe,max_dd_pct,trades,trades_per_yr
15,200,14.23,0.5,-32.14,286,18.298144593730004
20,200,13.85,0.489,-27.88,269,17.210492642354446
10,200,12.09,0.39,-25.37,371,23.736404350607803
8,200,11.8,0.376,-30.56,438,28.02303262955854
3,200,10.82,0.322,-29.19,725,46.38515674984005
20,100,10.43,0.304,-33.16,429,27.44721689059501
6,200,9.45,0.249,-31.19,521,33.33333333333333
15,100,7.78,0.152,-32.8,524,33.52527191298784
5,200,7.57,0.14,-32.51,578,36.98016634676903
10,100,7.09,0.11,-32.31,629,40.24312220089571
8,50,6.18,0.054,-34.64,983,62.891874600127956
6,40,5.91,0.046,-37.3,1318,84.32501599488164
10,30,5.86,0.037,-33.02,1329,85.02879078694818
3,40,5.43,0.017,-35.35,1787,114.33141394753679
6,100,5.29,0.005,-34.14,770,49.26423544465771
15,20,5.11,-0.003,-47.07,2137,136.724248240563
6,50,5.08,-0.006,-33.38,1105,70.69737683941139
20,30,5.19,-0.007,-29.84,1317,84.26103646833013
15,40,4.83,-0.03,-43.32,983,62.891874600127956
15,50,4.6,-0.035,-37.66,819,52.39923224568138
20,40,4.52,-0.048,-32.57,922,58.98912348048624
5,30,4.22,-0.064,-33.94,1685,107.80550223928343
5,100,4.29,-0.065,-31.92,838,53.61484325015994
15,30,4.03,-0.072,-41.33,1255,80.2943058221369
20,50,3.76,-0.095,-43.22,766,49.00831733845169
8,100,3.39,-0.119,-31.88,705,45.105566218809976
8,40,3.24,-0.12,-40.58,1180,75.49584133077416
10,50,2.95,-0.137,-41.86,942,60.26871401151631
3,100,2.86,-0.147,-42.12,1098,70.24952015355086
10,40,2.67,-0.159,-38.44,1085,69.41778630838131
5,40,2.44,-0.171,-40.77,1459,93.34612923864363
3,50,2.05,-0.193,-42.93,1601,102.43122200895714
6,30,1.92,-0.202,-42.13,1574,100.70377479206654
5,50,1.72,-0.214,-49.39,1262,80.74216250799743
8,30,1.71,-0.219,-39.5,1428,91.36276391554702
3,20,1.64,-0.22,-45.26,2626,168.01023672424824
8,20,1.56,-0.223,-45.61,1887,120.72936660268714
10,20,1.44,-0.233,-41.18,1905,121.88099808061419
3,30,1.31,-0.241,-37.63,2127,136.08445297504798
6,20,-2.22,-0.46,-47.06,2086,133.46129238643633
5,20,-2.45,-0.487,-49.07,2224,142.2904670505438
