symbol,signal,crossover_date,bars_since,close,price_date,sma_short,sma_long,spread_pct
CGPOWER,BEARISH,2026-08-21,0,867.0,2026-08-21,881.58,882.96,-0.16
DRREDDY,BEARISH,2026-08-21,0,1174.7,2026-08-21,1182.58,1184.47,-0.16
JIOFIN,BEARISH,2026-08-21,0,244.0,2026-08-21,246.06,246.83,-0.31
TATAPOWER,BEARISH,2026-08-21,0,374.3,2026-08-21,378.83,378.99,-0.04
TCS,BEARISH,2026-08-21,0,2302.0,2026-08-21,2307.2,2325.61,-0.79
TRENT,BEARISH,2026-08-21,0,2924.0,2026-08-21,2952.18,2959.93,-0.26
VEDL,BULLISH,2026-08-21,0,279.0,2026-08-21,268.47,267.69,0.29
WIPRO,BEARISH,2026-08-21,0,180.79,2026-08-21,180.88,181.1,-0.12
BANKBARODA,BEARISH,2026-08-20,1,247.0,2026-08-21,245.88,246.57,-0.28
GAIL,BEARISH,2026-08-20,1,172.0,2026-08-21,172.92,173.93,-0.58
NESTLEIND,BEARISH,2026-08-20,1,1477.1,2026-08-21,1471.95,1479.88,-0.54
ZYDUSLIFE,BEARISH,2026-08-20,1,1107.7,2026-08-20,1126.97,1131.81,-0.43
BPCL,BEARISH,2026-08-19,2,311.0,2026-08-21,312.18,315.88,-1.17
CIPLA,BEARISH,2026-08-19,2,1432.2,2026-08-21,1434.13,1443.43,-0.64
MARUTI,BEARISH,2026-08-19,2,13565.0,2026-08-21,13724.83,13819.9,-0.69
TMPV,BEARISH,2026-08-19,2,317.9,2026-08-21,324.49,335.07,-3.16
ASIANPAINT,BEARISH,2026-08-18,3,2640.0,2026-08-21,2651.37,2704.42,-1.96
DLF,BULLISH,2026-08-17,4,678.1,2026-08-21,670.98,660.46,1.59
IOC,BEARISH,2026-08-17,4,135.9,2026-08-21,137.32,140.44,-2.22
ULTRACEMCO,BEARISH,2026-08-17,4,11570.0,2026-08-21,11565.67,11829.63,-2.23
ICICIBANK,BEARISH,2026-08-14,5,1420.0,2026-08-21,1413.03,1431.08,-1.26
TATASTEEL,BEARISH,2026-08-14,5,183.0,2026-08-21,184.25,186.56,-1.24
BEL,BULLISH,2026-08-13,6,414.0,2026-08-21,411.31,403.61,1.91
DMART,BULLISH,2026-08-13,6,3906.0,2026-08-21,3977.83,3972.2,0.14
SBILIFE,BEARISH,2026-08-13,6,1792.9,2026-08-21,1786.45,1841.99,-3.02
AMBUJACEM,BEARISH,2026-08-12,7,414.5,2026-08-21,413.02,428.5,-3.61
APOLLOHOSP,BEARISH,2026-08-12,7,8693.0,2026-08-21,8790.17,8856.48,-0.75
INDHOTEL,BEARISH,2026-08-12,7,730.0,2026-08-21,724.7,731.95,-0.99
ITC,BEARISH,2026-08-12,7,269.4,2026-08-21,271.56,280.15,-3.07
SUNPHARMA,BEARISH,2026-08-12,7,1904.0,2026-08-20,1903.85,1944.63,-2.1
TORNTPHARM,BEARISH,2026-08-12,7,4896.5,2026-08-21,4936.42,4959.55,-0.47
IRFC,BEARISH,2026-08-11,8,86.4,2026-08-21,86.46,88.14,-1.91
RECLTD,BEARISH,2026-08-11,8,326.65,2026-08-21,334.21,354.72,-5.78
ENRIN,BULLISH,2026-08-10,9,3435.6,2026-08-21,3514.85,3395.32,3.52
GODREJCP,BEARISH,2026-08-10,9,933.0,2026-08-21,933.88,1027.56,-9.12
PFC,BEARISH,2026-08-10,9,363.0,2026-08-21,371.02,401.73,-7.65
SHREECEM,BEARISH,2026-08-10,9,24280.0,2026-08-21,24495.83,26101.5,-6.15
ADANIENSOL,BEARISH,2026-08-07,10,1548.5,2026-08-20,1580.05,1650.13,-4.25
MAZDOCK,BULLISH,2026-08-07,10,2552.0,2026-08-21,2570.42,2431.68,5.71
