symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
ICICIBANK,470,2011-01-04,208.154541015625,2011-01-06,194.42727661132807,-6451.814270019558,0.0,0.0,-6451.814270019558,2,bear_cross
JSWSTEEL,823,2011-01-04,119.11000061035156,2011-01-10,102.99500274658205,-13262.643241882313,0.0,0.0,-13262.643241882313,6,bear_cross
MARUTI,68,2011-01-04,1426.050048828125,2011-01-10,1340.550048828125,-5814.0,0.0,0.0,-5814.0,6,bear_cross
CUMMINSIND,178,2011-01-05,546.0714111328125,2011-01-10,531.0357055664062,-2676.3555908203125,0.0,0.0,-2676.3555908203125,5,bear_cross
PNB,398,2011-01-05,244.1499938964844,2011-01-10,233.7400054931641,-4143.175384521484,0.0,0.0,-4143.175384521484,5,bear_cross
M&M,248,2011-01-04,393.7749938964844,2011-01-11,364.2749938964844,-7316.0,0.0,0.0,-7316.0,7,bear_cross
ADANIPOWER,3736,2011-01-05,26.030000686645508,2011-01-11,24.8700008392334,-4333.759429931641,0.0,0.0,-4333.759429931641,6,bear_cross
ADANIENT,245,2011-01-06,99.94300079345705,2011-01-11,89.59693145751953,-2534.786987304691,0.0,0.0,-2534.786987304691,5,bear_cross
HDFCBANK,820,2011-01-04,119.5250015258789,2011-01-12,107.33000183105467,-9999.89974975587,0.0,0.0,-9999.89974975587,8,bear_cross
TITAN,531,2011-01-05,182.8975067138672,2011-01-12,165.22500610351562,-9384.09782409668,0.0,0.0,-9384.09782409668,7,bear_cross
POWERGRID,1757,2011-01-05,55.35001373291016,2011-01-13,54.7031364440918,-1136.56339645387,0.0,0.0,-1136.56339645387,8,bear_cross
TECHM,532,2011-01-20,172.3625030517578,2011-01-21,173.9250030517578,831.25,0.0,0.0,831.25,1,bear_cross
BHARTIARTL,295,2011-01-19,310.3930053710937,2011-01-24,302.86749267578125,-2220.0262451171707,0.0,0.0,-2220.0262451171707,5,bear_cross
JINDALSTEL,131,2011-01-27,688.5499877929688,2011-01-28,673.2000122070312,-2010.8468017578125,0.0,0.0,-2010.8468017578125,1,bear_cross
M&M,231,2011-01-25,395.7999877929688,2011-01-31,348.95001220703125,-10822.344360351575,0.0,0.0,-10822.344360351575,6,bear_cross
GODREJCP,671,2011-01-10,132.26666259765625,2011-02-01,123.58333587646484,-5826.512229919434,0.0,223.666443,-5602.8457869194335,22,bear_cross
