symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
ICICIBANK,470,2011-01-04,208.82987003326411,2011-01-06,194.82988082885743,-6579.994926071144,226.87925816369406,0.0,-6806.874184234838,2,bear_cross
JSWSTEEL,823,2011-01-04,120.36516494750974,2011-01-10,103.04175304412841,-14257.167996482833,220.94058592041554,0.0,-14478.108582403249,6,bear_cross
MARUTI,68,2011-01-04,1430.5674999999999,2011-01-10,1345.6275,-5775.919999999988,225.77460031156,0.0,-6001.694600311548,6,bear_cross
CUMMINSIND,177,2011-01-05,545.8612499999999,2011-01-10,530.8125260925293,-2663.624131622299,227.5323830464052,0.0,-2891.156514668704,5,bear_cross
PNB,397,2011-01-05,244.0084938812256,2011-01-10,233.3950457382202,-4213.538912773143,226.48944049033997,0.0,-4440.028353263483,5,bear_cross
M&M,248,2011-01-04,394.53386276245124,2011-01-11,363.83812500000005,-7612.542965087894,225.1280929782632,0.0,-7837.6710580661575,7,bear_cross
ADANIPOWER,3727,2011-01-05,26.175275611877435,2011-01-11,24.967425684928894,-4501.656677737211,227.71205012232525,0.0,-4729.368727859536,6,bear_cross
ADANIENT,226,2011-01-06,100.80748918533325,2011-01-11,90.20620079040528,-2395.8911772537226,63.541250945614244,0.0,-2459.4324281993368,5,bear_cross
HDFCBANK,820,2011-01-04,119.6233094406128,2011-01-12,108.1788719558716,-9384.438737487784,223.83881389211246,0.0,-9608.277551379897,8,bear_cross
TITAN,530,2011-01-05,182.30463111877438,2011-01-12,166.34061355590822,-8460.929308319066,221.527152583344,0.0,-8682.45646090241,7,bear_cross
POWERGRID,1752,2011-01-05,55.488388767242434,2011-01-13,54.53832695960999,-1664.5082869720425,229.89978966497137,0.0,-1894.408076637014,8,bear_cross
TECHM,531,2011-01-20,173.4325,2011-01-21,173.315625,-62.06062499999638,220.16446745315125,0.0,-282.2250924531476,1,bear_cross
BHARTIARTL,295,2011-01-19,311.7110807037353,2011-01-24,302.24517883300786,-2792.441051864602,217.0251779985278,0.0,-3009.4662298631297,5,bear_cross
JINDALSTEL,131,2011-01-27,697.74,2011-01-28,666.4297256469727,-4101.645940246583,214.44151045099255,0.0,-4316.087450697576,1,bear_cross
