symbol,qty,entry_date,entry_price,exit_date,exit_price,gross_pnl,charges,dividends,net_pnl,holding_days,exit_reason
ICICIBANK,470,2011-01-04,208.82987003326411,2011-01-06,194.82988082885743,-6579.994926071144,226.87925816369406,0.0,-6806.874184234838,2,bear_cross
JSWSTEEL,823,2011-01-04,120.36516494750974,2011-01-10,103.04175304412841,-14257.167996482833,220.94058592041554,0.0,-14478.108582403249,6,bear_cross
MARUTI,68,2011-01-04,1430.5674999999999,2011-01-10,1345.6275,-5775.919999999988,225.77460031156,0.0,-6001.694600311548,6,bear_cross
PNB,397,2011-01-05,244.0084938812256,2011-01-10,233.3950457382202,-4213.538912773143,226.48944049033997,0.0,-4440.028353263483,5,bear_cross
M&M,248,2011-01-04,394.53386276245124,2011-01-11,363.83812500000005,-7612.542965087894,225.1280929782632,0.0,-7837.6710580661575,7,bear_cross
ABREL,52,2011-01-06,438.1927561187744,2011-01-11,390.57111282348643,-2476.325451354975,63.46566322937003,0.0,-2539.791114584345,5,bear_cross
JSWENERGY,930,2011-01-10,95.53825305938719,2011-01-11,94.2138719558716,-1231.6744262695001,211.7380797951135,0.0,-1443.4125060646136,1,bear_cross
HDFCBANK,820,2011-01-04,119.6233094406128,2011-01-12,108.1788719558716,-9384.438737487784,223.83881389211246,0.0,-9608.277551379897,8,bear_cross
SAIL,512,2011-01-05,188.57025611877438,2011-01-12,176.35800304412842,-6252.67357421873,223.65452366999887,0.0,-6476.328097888729,7,bear_cross
TITAN,530,2011-01-05,182.30463111877438,2011-01-12,166.34061355590822,-8460.929308319066,221.527152583344,0.0,-8682.45646090241,7,bear_cross
POWERGRID,1752,2011-01-05,55.488388767242434,2011-01-13,54.53832695960999,-1664.5082869720425,229.89978966497137,0.0,-1894.408076637014,8,bear_cross
LUPIN,198,2011-01-05,493.0294877624512,2011-01-17,459.8475,-6570.033576965332,225.7099960511501,0.0,-6795.7435730164825,12,bear_cross
BHARTIARTL,291,2011-01-19,311.7110807037353,2011-01-24,302.24517883300786,-2754.577444381692,214.29046372058167,0.0,-2968.8679081022738,5,bear_cross
LUPIN,196,2011-01-20,461.15,2011-01-24,458.70038108825685,-480.12530670165347,215.93243767087586,0.0,-696.0577443725293,4,bear_cross
