Date,walk_forward,fixed_6_30,hindsight_20_200,nifty100
2014-01-01,996306.6167765327,1002768.8661918537,994367.2747376356,1000000.0
2014-01-02,984950.6986343093,985412.4504547945,981756.0980135568,985968.4486506969
2014-01-03,997992.5445876736,989049.7257555777,991333.5303046022,985410.5402010307
2014-01-06,1004197.5013711324,990664.0499026867,996256.731340818,983020.6614073518
2014-01-07,999304.689597068,985409.3095461257,989433.088033071,977539.3078311599
2014-01-08,1007836.478475531,994099.1099691754,998480.0381593799,979611.2921720957
2014-01-09,1003162.3100304939,992918.889074161,991599.4450470023,977486.1385463896
2014-01-10,1005335.0978769173,988343.1749378718,993657.9871623217,977483.1790168937
2014-01-13,1007648.7806475573,994153.6508735887,1000856.3299203701,990874.4832805257
2014-01-14,1011063.749833804,993946.5612942448,1002999.6772575357,986760.8153188118
2014-01-15,1010252.1535603113,997505.3562655112,1003134.5675681711,997954.0764306685
2014-01-16,1018424.3664978425,993915.4773584076,1012559.4611565695,996213.5716732024
2014-01-17,1002769.7108445184,973968.489759145,995754.1981716667,986694.9637394449
2014-01-20,1020407.9896951903,986654.8939873205,1016337.4195105801,994056.9066980322
2014-01-21,1026860.1007579716,987469.1290404422,1027121.3489957888,995521.0968652287
2014-01-22,1035505.810462658,994593.8516456946,1031374.9272544412,999323.2191409735
2014-01-23,1029059.6838277739,987054.4692918578,1020843.7944663058,999900.4770717118
2014-01-24,1013260.1282881015,970657.238440988,1002591.0781826756,986834.9374234121
2014-01-27,987268.5732740244,961454.1860862789,972016.9492224426,965037.6590100464
2014-01-28,988430.8765547815,958527.659058343,979449.4438811797,963527.0861796917
2014-01-29,998037.0409920625,958813.520735758,985452.8587664517,963533.7129999888
2014-01-30,993682.1374357468,954728.0487626991,982621.5250188853,954499.5015527563
2014-01-31,1012224.1740207798,960279.9655103958,1000569.2299277151,960074.0120612719
2014-02-03,1001317.0530034481,960123.5016703752,985028.9475871123,946858.4735281274
2014-02-04,1002959.6738072863,955109.8143065986,991688.7707614766,947313.3794557091
2014-02-05,1014876.8988453059,956005.8635780406,1006884.6463909827,950975.2302259408
2014-02-06,1014320.6328786105,957676.7839189243,1006359.7362317882,953393.9209209826
2014-02-07,1032431.8565736852,957321.7292921072,1020543.3313174528,957375.5175658453
2014-02-10,1030049.4588174693,956347.8601360146,1018495.78181545,955344.175499252
2014-02-11,1032318.1873945098,952955.4226047188,1023649.7459049172,956668.1644416446
2014-02-12,1028818.00763584,950685.0296204595,1021770.6562555319,959336.3894133668
2014-02-13,1017415.3006517906,926310.6438728536,1004690.8925880989,946205.5857282234
2014-02-14,1020874.4218589934,932294.3468227299,1012582.0299607792,952767.556263634
2014-02-17,1023790.2940617914,932066.2157274459,1016172.8610163521,956310.2944994003
2014-02-18,1024156.1715898128,933220.9550640661,1015722.6835255466,964881.5996059119
2014-02-19,1029279.5310544514,938440.1009396964,1017391.5818515085,968896.5048592703
2014-02-20,1025087.5132507202,938581.6639766664,1016204.3651651591,960362.9295121777
2014-02-21,1024501.2561414763,944047.5921548016,1023069.7386323746,969997.3976438139
2014-02-24,1022536.4019590353,952768.7130530695,1018123.1789604472,974021.5790340301
2014-02-25,1040609.6143648204,948424.1831826197,1037027.062441052,976137.4302311937
2014-02-26,1039261.2844035802,954911.9614155353,1034533.5741693923,981169.5671766608
2014-02-28,1057189.4594845115,962527.9232038505,1054750.8972271064,988014.0008348096
2014-03-03,1048678.1037642544,962870.9969687288,1053251.7264936508,980801.9042921166
2014-03-04,1053727.5396853306,975612.3187122496,1063348.4293603646,992552.9394429838
2014-03-05,1057558.0812952565,969048.1808088185,1068362.1679618154,997513.1909238468
2014-03-06,1062377.744565194,975594.9988149039,1078484.5945146207,1008979.0903846011
